,PRODUCT,PROD_LVL,SPECIALTY,SUB_SPECIALTY,SP_SOURCE,ds,INDICATION,MARKET_FLAG,LEVEL_0_MARKET_FLAG,BIOSIMILAR_MOLECULE,CLASS,METRIC,COMPETITIVE_RX,TOTAL_RX,ALLOCATED_WITHOUT_FDAP_RX,ALLOCATED_WITH_FDAP_RX
3279,Brand22,2,PED,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class4,TRX,1044.1575,,,
3328,Brand5,1,NP,OTHERS,PHARMACY,2024-02-02,Indication2,Other Market,Other Market,Not Available,Class3,NBRX,10.9145,,,
3331,Brand5,2,PED,OTHERS,PHARMACY,2024-02-02,Indication2,Not Available,Not Available,Not Available,Class3,TRX,8.4227,,,
3472,Brand3,2,PED,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class2,TRX,227.1884,227.1884,,
3701,Brand41,1,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class5,MOTRX,,171.4987,,
3738,Brand3,1,NP,OTHERS,PHARMACY,2024-02-02,Indication1,Oral Market,Oral Market,Not Available,Class2,MOTRX,100.8573,,,
3789,Brand8,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class1,MOTRX,13.8231,13.8231,,
3792,Brand15,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Other Market,Other Market,Not Available,Class3,MOTRX,18.7773,18.7773,21.28393266,22.03151479
3795,Brand2,1,PED,OTHERS,PHARMACY,2024-02-02,Indication10,Other Market,Not Available,Not Available,Class1,TRX,99.7593,99.7593,,
3858,Brand15,2,PED,OTHERS,PHARMACY,2024-02-02,Indication1,Other Market,Other Market,Not Available,Class3,TRX,3.2486,,3.686083742,3.813323335
3959,Brand23,2,PED,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication2,IV Market,IV Market,Not Available,Class1,TRX,486.3073,,,
4108,Brand13,2,PED,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class1,TRX,2.5238,2.5238,,
4269,Brand22,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Other Market,Other Market,Not Available,Class4,TRX,2839.3706,2839.3706,,
4317,Brand5,1,PED,OTHERS,PHARMACY,2024-02-02,Indication1,Other Market,Other Market,Not Available,Class3,TRX,60.2341,,,
4385,Brand15,2,PED,OTHERS,PHARMACY,2024-02-02,Indication6,Other Market,Other Market,Not Available,Class3,TRX,15.5704,15.5704,17.66724075,18.27709464
4443,Brand7,2,NP,OTHERS,PHARMACY,2024-02-02,Indication10,Not Available,Not Available,Not Available,Class1,NBRX,5.2846,5.2846,,
4483,Brand33,2,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class1,TRX,3.5138,3.5138,,
4494,Brand8,1,NP,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,931.0032,,
4738,Brand2,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Other Market,Not Available,Not Available,Class1,NBRX,22.6585,22.6585,,
4820,Brand10,1,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class1,MOTRX,9.042,9.042,,
4906,Brand29,1,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,MOTRX,,3126.6903,,
4950,Brand42,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class5,TRX,,169.9164,,
5024,Brand11,1,PED,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication6,BnB IV Market,BnB IV Market,Not Available,Class1,TRX,60.2815,60.2815,,
5116,Brand14,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,TRX,,891.3054,,
5289,Brand24,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class2,MOTRX,717.8127,717.8127,,
5302,Brand5,1,PED,OTHERS,PHARMACY,2024-02-02,Indication4,Other Market,Other Market,Not Available,Class3,TRX,6.5801,6.5801,,
5376,Brand15,2,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Other Market,Other Market,Not Available,Class3,MOTRX,3645.2303,3645.2303,3499.775629,3998.2859
5404,Brand15,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Other Market,Other Market,Not Available,Class3,NBRX,56.7987,56.7987,65.45908081,67.37658796
5533,Brand6,1,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Not Available,Not Available,Not Available,Class3,TRX,7.2748,7.2748,,8.030133743
5612,Brand35,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Other Market,Other Market,Not Available,Class4,TRX,61.1221,61.1221,,
5689,Brand23,2,PED,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication6,IV Market,IV Market,Not Available,Class1,TRX,15.1971,15.1971,,
5732,Brand21,1,NP,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class1,MOTRX,15.1971,15.1971,,
5829,Brand5,2,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class3,NBRX,5.7596,5.7596,,
5861,Brand22,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,NBRX,,0.0,,
5885,Brand4,2,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class1,MOTRX,302.2005,302.2005,,
6005,Brand2,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,3873.2897,,
6124,Brand11,1,NP,OTHERS,PHARMACY,2024-02-02,Indication10,Other Market,Other Market,Not Available,Class1,NBRX,10.6775,10.6775,,
6204,Brand19,2,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Other Market,Other Market,Not Available,Class1,NBRX,0.0,0.0,,
6230,Brand5,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Other Market,Other Market,Not Available,Class3,MOTRX,5.7681,5.7681,,
6295,Brand9,2,PED,OTHERS,PHARMACY,2024-02-02,Indication4,IV Market,Not Available,Not Available,Class1,TRX,1.4804,1.4804,,
6364,Brand7,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,46.3945,,
6370,Brand22,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Other Market,Other Market,Not Available,Class4,NBRX,107.7032,107.7032,,
6425,Brand6,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class3,TRX,2788.8752,2788.8752,,3078.440761
6470,Brand7,2,PED,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class1,TRX,6612.9893,6612.9893,,
6523,Brand31,2,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class4,NBRX,,0.0,,
6803,Brand10,1,OTHERS,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,245.6685,,
7102,Brand27,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,1.4304,,
7160,Brand24,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Oral Market,Oral Market,Not Available,Class2,NBRX,0.0,0.0,,
7162,Brand22,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Other Market,Other Market,Not Available,Class4,MOTRX,7.7844,7.7844,,
7176,Brand31,2,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class4,MOTRX,,5.5393,,
7384,Brand29,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Other Market,Other Market,Not Available,Class4,NBRX,46.6262,46.6262,,
7452,Brand12,2,PED,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,20.4465,,
7647,Brand7,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,46.5193,,
7648,Brand6,1,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class3,TRX,,157.1018,,
7652,Brand2,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,579.676,,
7668,Brand31,2,NP,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,NBRX,,0.0,,
7704,Brand11,1,PED,OTHERS,PHARMACY,2024-02-02,Indication6,Other Market,Other Market,Not Available,Class1,TRX,32.9241,32.9241,,
7750,Brand19,2,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Other Market,Other Market,Not Available,Class1,MOTRX,6.1071,6.1071,,
7759,Brand29,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Other Market,Other Market,Not Available,Class4,NBRX,1.4237,1.4237,,
7854,Brand11,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
8113,Brand4,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,538.0009,,
8133,Brand15,2,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Other Market,Other Market,Not Available,Class3,NBRX,0.0,0.0,0.0,0.0
8173,Brand33,2,NP,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class1,MOTRX,4.8928,4.8928,,
8184,Brand3,1,NP,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class2,MOTRX,,1.5672,,
8220,Brand7,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,981.4489,,
8411,Brand18,2,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Not Available,Not Available,Not Available,Class1,TRX,20.5523,20.5523,,
8437,Brand14,1,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,MOTRX,,138.2284,,
8476,Brand20,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class1,NBRX,0.0,0.0,,
8498,Brand6,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class3,TRX,,19.538,,
8605,Brand5,1,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Not Available,Not Available,Not Available,Class3,MOTRX,,5.5128,,
8750,Brand24,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Oral Market,Oral Market,Not Available,Class2,MOTRX,953.4825,953.4825,,
8752,Brand5,1,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class3,MOTRX,,300.9664,,
8805,Brand31,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,NBRX,,8.1055,,
8806,Brand24,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,TRX,,240.4832,,
8807,Brand24,1,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,NBRX,,42.4181,,
8823,Brand28,2,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,4.3816,,
8840,Brand11,2,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
8862,Brand20,2,PED,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class1,TRX,1.6164,1.6164,,
8950,Brand26,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,12.936,,
9019,Brand30,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,NBRX,,1.7114,,
9197,Brand11,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,2048.5514,,
9274,Brand30,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,MOTRX,,30.2678,,
9288,Brand7,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,5136.0926,,
9346,Brand31,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,TRX,,73.7597,,
9364,Brand4,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,598.5116,,
9400,Brand21,1,PED,OTHERS,PHARMACY,2024-02-02,Indication9,Not Available,Not Available,Not Available,Class1,TRX,,10.0559,,
9481,Brand5,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class3,TRX,,139.5433,,
9490,Brand15,2,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Other Market,Other Market,Not Available,Class3,TRX,19.2978,19.2978,18.6557473,21.30155051
9491,Brand3,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class2,MOTRX,,83.3489,,
9492,Brand3,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,MOTRX,,1464.8081,,
9536,Brand39,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class1,NBRX,,3.2514,,
9580,Brand25,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,36.2292,,
9630,Brand8,1,OTHERS,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,32754.9156,,
9670,Brand15,2,NP,OTHERS,PHARMACY,2024-02-02,Indication10,Other Market,Other Market,Not Available,Class3,MOTRX,17.6848,17.6848,20.04559188,20.74967821
9691,Brand30,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,NBRX,,23.8985,,
9752,Brand31,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,TRX,,1914.3901,,
9834,Brand29,1,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class4,MOTRX,,175.0518,,
9838,Brand4,2,NP,OTHERS,PHARMACY,2024-02-02,Indication10,Not Available,Not Available,Not Available,Class1,NBRX,0.0,0.0,,
9864,Brand15,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class3,MOTRX,,19.6525,,
9924,Brand15,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class3,NBRX,,48.2128,,
9940,Brand7,2,PED,OTHERS,PHARMACY,2024-02-02,Indication8,Not Available,Not Available,Not Available,Class1,TRX,,11.9921,,
9941,Brand25,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,12.743,,
10040,Brand2,1,NP,OTHERS,PHARMACY,2024-02-02,Indication8,Not Available,Not Available,Not Available,Class1,MOTRX,,1.5726,,
10044,Brand9,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,15.0489,,
10083,Brand2,1,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,1040.5607,,
10153,Brand14,2,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class2,NBRX,,24.8252,,
10175,Brand3,1,PED,OTHERS,PHARMACY,2024-02-02,Indication5,Not Available,Not Available,Not Available,Class2,TRX,,99.1109,,
10182,Brand16,2,NP,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,79.4888,,
10183,Brand14,2,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class2,MOTRX,768.1987,768.1987,,
10217,Brand39,2,PED,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class1,TRX,,33.5598,,
10278,Brand24,2,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Not Available,Not Available,Not Available,Class2,TRX,,13.9445,,
10286,Brand4,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,46.7932,,
10317,Brand7,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,1124.7004,,
10352,Brand11,2,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,450.894,,
10362,Brand2,1,PED,OTHERS,PHARMACY,2024-02-02,Indication8,Not Available,Not Available,Not Available,Class1,TRX,,45.873,,
10382,Brand25,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
10406,Brand2,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,19428.8601,,
10407,Brand2,1,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,21644.3299,,
10419,Brand10,1,PED,OTHERS,PHARMACY,2024-02-02,Indication4,Not Available,Not Available,Not Available,Class1,TRX,232.4544,232.4544,,
10438,Brand11,1,PED,OTHERS,PHARMACY,2024-02-02,Indication7,Not Available,Not Available,Not Available,Class1,TRX,,2.5758,,
10470,Brand5,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class3,MOTRX,,208.6638,,
10536,Brand23,2,PED,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,562.2929,,
10641,Brand25,2,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,6.6848,,
10672,Brand9,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,5.4353,,
10684,Brand41,1,NP,OTHERS,PHARMACY,2024-02-02,Indication6,Not Available,Not Available,Not Available,Class5,NBRX,,0.0,,
10731,Brand12,2,NP,OTHERS,MEDICAL BENEFIT,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,1267.6839,,
10759,Brand25,2,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,1.3789,,
10850,Brand38,1,NP,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class3,NBRX,,2.6722,,
10852,Brand6,1,PED,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class3,MOTRX,,229.5121,,
10992,Brand15,2,OTHERS,OTHERS,PHARMACY,2024-02-02,Indication11,Not Available,Not Available,Not Available,Class3,MOTRX,,209.3508,,
